Ranking	Car_ID	Year	Make	Model	Total
1	230	2004	Acura	Tsx	20
2	71	2008	Acura	TL	6
3	174	2006	Acura	Rsx	4
4	108	2013	Audi	S4	14
5	220	2004	Audi	A4	14
6	197	2010	Audi	A4	2
7	172	2014	Bmw	4	22
8	111	2007	Bmw	328i	10
9	28	1995	Bmw	318xi	8
10	218	2010	Chevy	Camaro	64
11	170	2014	Chevy	Cruze	50
12	0	2015	Chevy	Camaro	0
13	216	2007	Chrystler	300	96
14	42	2001	Dodge	Viper	8
15	120	2014	Ford	Focusst	30
16	219	2016	Ford	Focusrs	26
17	167	2016	Ford	Mystang	20
18	72	2016	Honda	Civicsi	4
19	101	2014	Honda	Civic	0
20	70	2014	Honda	Civic	0
21	38	2017	Hyundai	Elantrasport	62
22	92	2017	Hyundai	Elantrasport	30
23	159	2013	Hyundai	Gencoupe	14
24	122	2011	Infiniti	M37s	44
25	20	2009	Infiniti	G37	38
26	95	2004	Infiniti	G35	12
27	124	2015	Jeep	Wrangler	124
28	222	2015	Lexus	Is250	40
29	190	1995	Lexus	Sc300	10
30	212	2001	Lexus	Is300	6
31	141	1993	Mazda	Miata	26
32	79	1993	Mazda	Miata	18
33	138	1990	Mazda	Miata	10
34	84	2012	Mercedes	Cl63amg	70
35	17	2016	Mercedes	C43	34
36	98	2012	Mercedes	C63	26
37	176	2014	Mitsu	Lancer	40
38	19	2001	Mitsu	Evo7	40
39	163	2013	Mitsu	Ralliart	22
40	193	2014	Nissan	Ssntra	14
41	68	2013	Nissan	Altima	10
42	16	2008	Nissan	350z	10
43	57	2015	Scion	Frs	80
44	235	2013	Scion	Frs	20
45	1	2012	Subaru	WRX	6
46	75	2012	Subaru	WRX	6
47	40	2007	Subaru	Legacy	6
48	189	2012	Toyota	Fjcruiser	50
49	241	2007	Toyota	Camry	24
50	243	2008	Toyota	Matrix	10
51	184	2010	Volkswagen	Cc	8
52	185	2013	Volkswagen	Jett	8
53	66	2010	Volkswagen	Gti	4
54	100	2006	Volvo	S60r	22
